sport;substance_reason;sanction_terms;sanction_announced
Volleyball;Hydrochlorothiazide, Triamterene;No Fault or Negligence;
Track and Field;Non-Analytical: Use and Possession (Ostarine);4-Year Suspension - Loss of Results;11/03/2017
Mixed Martial Arts;Clenbuterol;No Fault or Negligence;
Mixed Martial Arts;Stanozolol Metabolites;2-Year Suspension;10/20/2017
Mixed Martial Arts;Clomiphene;1-Year Suspension;10/13/2017
Paralympic Track and Field;Non-Analytical: Evading Sample Collection;4 Year Suspension with 1 Year Reduction - Loss of Results;10/10/2017
Mixed Martial Arts;Clomiphene and its metabolite;1-Year Suspension;09/21/2017
Cycling;Clomiphene and its metabolite;6-Month Suspension - Loss of Results;09/06/2017
Weightlifting;Clomiphene and Methylphenidate metabolite Ritalinic Acid;4-Year Suspension - Loss of Results;08/31/2017
Paralympic Basketball;Non-Analytical: Use (Higenamine);Public Warning;08/29/2017
Cycling;Raloxifene, Ostarine, Ibutamoren, GW1516 sulfone, RAD140, LGD4033, Andarine;8-Year Suspension - Loss of Results;08/28/2017
Weightlifting;Non-Analytical: Refusal to Submit to Sample Collection;"2-Year Suspension - Loss of Results; Sanction tolled due to retirement; Unretired - Eligible to compete starting 3/7/2020";08/22/2017
Mixed Martial Arts;Hydrochlorothiazide, Chlorothiazide, Ostarine and Stanozolol Metabolites;10-Month Suspension;08/18/2017
Weightlifting;Higenamine, 1,4-dimethylpentylamine;9-Month Suspension - Loss of Results;08/16/2017
Track and Field;Non-Analytical: 3 Whereabouts Failures;1-Year Suspension - Loss of Results;08/15/2017
Track and Field;Ostarine;9-Month Suspension - Loss of Results;08/11/2017
Cycling;Clenbuterol;4-Year Suspension - Loss of Results;08/08/2017
Luge;Cannabinoids;"6-Month Suspension - Loss of Results; Sanction tolled due to retirement";07/27/2017
Bobsled and Skeleton;Dimethylbutylamine (DMBA);16-Month Suspension - Loss of Results;07/20/2017
Track and Field;Non-Analytical: Use and Possession;2-Year Suspension - Loss of Results;07/19/2017
Track and Field;Androgenic Anabolic Steroid;"4-Year Suspension - Loss of Results; Sanction tolled due to retirement";07/17/2017
Weightlifting;Non-Analytical: Refusal to Submit to Sample Collection;4-Year Suspension - Loss of Results;07/14/2017
Cycling;Modafinil;21-Month Suspension - Loss of Results;07/07/2017
Weightlifting;GW1516;4-Year Suspension - Loss of Results;06/30/2017
Weightlifting;Clomiphene and GW1516;2.5-Year Suspension - Loss of Results;06/30/2017
Track and Field;Probenecid;No Fault or Negligence;
Mixed Martial Arts;Clomiphene and its metabolite;"1-Year Suspension; Second Violation";06/20/2017
Track and Field;Zeranol;No Fault or Negligence - Loss of Results;
Archery;Canrenone;Public Warning;06/16/2017
Weightlifting;Ostarine;"8-Year Suspension - Loss of Results; Second Violation";06/08/2017
Paralympic Track and Field;Androgenic Anabolic Steroid;21-Month Suspension - Loss of Results;06/08/2017
Weightlifting;Non-Analytical: Possession (Peptides);4-Year Suspension - Loss of Results;06/02/2017
Weightlifting;Androgenic Anabolic Steroid, Amphetamine, Drostanolone, Mesterolone and dehydrochloromethyltestosterone (DHCMT);4-Year Suspension - Loss of Results;05/31/2017
Weightlifting;Ostarine;"4-Year Suspension - Loss of Results; Sanction tolled due to retirement";05/26/2017
Speedskating;Clomiphene;"4-Year Suspension - Loss of Results; Sanction tolled due to retirement";05/15/2017
Track and Field;Non-Analytical: Use and Possession (Peptides);"4-Year Suspension - Loss of Results; Sanction tolled due to retirement";05/12/2017
Mixed Martial Arts;Cannabinoids;6-Month Suspension with 3-Month Deferral;05/11/2017
Weightlifting - Athlete Support Personnel;Non-Analytical: Possession, Trafficking, and Administration;"Lifetime Suspension with Reduction to 12 Years - Loss of Results; Sanction tolled due to retirement";05/11/2017
Track and Field;Ostarine;1-Year Suspension - Loss of Results;05/09/2017
Mixed Martial Arts;Androgenic Anabolic Steroid & 19-norandrosterone (19-NA);4-Year Suspension: Sanction is tolled until athlete returns from retirement. Second Violation.;05/05/2017
Track and Field;Methandienone;4-Year Suspension - Loss of Results;05/04/2017
Cycling;Non-Analytical: Refusal to Submit to Sample Collection;4-Year Suspension - Loss of Results;05/03/2017
Track and Field;Non-Analytical: Use and Possession (Peptides);4-Year Suspension - Loss of Results;05/02/2017
Track and Field;Clomiphene;Public Warning;05/01/2017
Mixed Martial Arts;Dehydrochloromethyltestosterone (DHCMT);2-Year Suspension;04/21/2017
Track and Field;Non-Analytical: 3 Whereabouts Failures;1-Year Suspension - Loss of Results;04/20/2017
Cycling;Acetazolamide;12-Month Suspension - Loss of Results;04/19/2017
Bobsled and Skeleton;Dimethylbutylamine (DMBA);16-Month Suspension - Loss of Results;04/06/2017
Mixed Martial Arts;1-testosterone and 1-androstenedione;4-Month Suspension;04/05/2017
Mixed Martial Arts;1-androstenedione and its metabolite;6-Month Suspension;04/03/2017
Mixed Martial Arts;Anastrozole;1-Year Suspension;03/29/2017
Weightlifting;Oxandrolone and its metabolite;4-Year Suspension - Loss of Results;03/28/2017
Brazilian Jiu-Jitsu;Clomiphene;2-Year Suspension - Loss of Results;03/27/2017
Mixed Martial Arts;Stanozolol and its metabolites;2-Year Suspension;03/21/2017
Weightlifting;Clenbuterol, Ostarine, and a Tamoxifen metabolite;4-Year Suspension - Loss of Results;03/16/2017
Paralympic Track and Field, Paralympic Volleyball;Ostarine;9-Month Suspension - Loss of Results;03/14/2017
Paralympic Curling;Hydrochlorothiazide and Chlorothiazide;Public Warning - Loss of Results;03/07/2017
Track and Field;Androgenic Anabolic Steroid;"6-Year Suspension - Loss of Results; Second Violation; Sanction tolled due to retirement";03/06/2017
Weightlifting;Amphetamine;4-Year Suspension - Loss of Results;03/02/2017
Mixed Martial Arts;Ostarine;2-Year Suspension;02/24/2017
Weightlifting;19-Norandrosterone (19-NA), Drostanolone and its metabolites, and Epitrenbolone;4-Year Suspension - Loss of Results;02/21/2017
Cycling;Norbolethone;Lifetime Ban - Loss of Results - Sanction Reduced;"Original: 08/30/2002; Updated: 02/13/2017"
Track and Field;Hydrochlorothiazide;3-Month Suspension - Loss of Results;02/07/2017
Mixed Martial Arts;Meldonium;No Fault or Negligence;
Track and Field;Clenbuterol;No Fault or Negligence;
Mixed Martial Arts;Methyltestosterone;2-Year Suspension;01/25/2017
Weightlifting;Non-Analytical;"4-Year Suspension - Loss of Results; Sanction tolled due to retirement";01/11/2017
Weightlifting;Epitrenbolone;4-Year Suspension - Loss of Results;01/09/2017
Weightlifting;Cannabinoids;6-Month Suspension with 3-Month Deferral - Loss of Results;01/06/2017
Mixed Martial Arts;Clomiphene;1-Year Suspension;01/04/2017
Team Handball;Amphetamine;2-Year Suspension - Loss of Results;12/22/2016
Mixed Martial Arts;Ostarine and 7-keto-DHEA;17-Month Suspension;12/21/2016
Roller Sports;RAD140 and Ibutamoren;4-Year Suspension - Loss of Results;12/20/2016
Weightlifting;Stanozolol Metabolites;4-Year Suspension - Loss of Results;12/15/2016
Track and Field;Non-Analytical: Use and Possession (Peptides);"4-Year Suspension - Loss of Results; Sanction tolled due to retirement";12/14/2016
Cycling;Non-Analytical: Use and Possession (EPO, hGH, Testosterone);4-Year Suspension - Loss of Results;12/13/2016
Weightlifting;1,3-dimethylbutylamine (DMBA);6-Month Suspension - Loss of Results;12/07/2016
Weightlifting;1,3-dimethylbutylamine (DMBA);6-Month Suspension - Loss of Results;12/05/2016
Paralympic Cycling;Androgenic Anabolic Steroid;18-Month Suspension - Loss of Results;12/01/2016
Mixed Martial Arts;7?keto?DHEA;18-Month Suspension;11/16/2016
Mixed Martial Arts;Non-Analytical: Use (IGF-1);1-Year Suspension;11/08/2016
Wrestling;Non-Analytical: Use and Possession (Peptides);"4-Year Suspension - Loss of Results; Sanction tolled due to retirement";11/07/2016
Mixed Martial Arts;Clomiphene, Letrozole;1-Year Suspension;11/07/2016
Track and Field;Non-Analytical:: Use (Peptides);4-Year Suspension - Loss of Results;11/03/2016
Cycling;Non-Analytical: Failure to Appear to Sample Collection;4-Year Suspension - Loss of Results;11/02/2016
Cycling;Androgenic Anabolic Steroid and Methylphenidate;4-Year Suspension - Loss of Results;10/26/2016
Mixed Martial Arts;Meldonium;15 Month Suspension - Loss of Results;10/21/2016
Cycling;Androgenic Anabolic Steroid;"4-Year Suspension - Loss of Results; Second Violation";10/06/2016
Mixed Martial Arts;Cannabinoids;Public Warning;10/06/2016
Cycling;Androgenic Anabolic Steroid;2-Year Suspension - Loss of Results - Additional Results Disqualified;"Original: 10/28/2015; Updated: 10/04/2016"
Cycling;Non-Analytical: Refusal to Submit to Sample Collection;4-Year Suspension - Loss of Results;10/03/2016
Track and Field;1,3-dimethylbutylamine;2-Year Suspension - Loss of Results;09/27/2016
Cycling;Androgenic Anabolic Steroid;2-Year Suspension - Loss of Results;09/08/2016
Weightlifting;Oxycodone;1-Year Suspension - Loss of Results;09/06/2016
Mixed Martial Arts;Clenbuterol;No Fault or Negligence;
Cycling;Androgenic Anabolic Steroid;4-Year Suspension - Loss of Results;09/01/2016
Mixed Martial Arts;Clenbuterol;No Fault or Negligence;
Triathlon;Meldonium;No Fault or Negligence - Loss of Results;
Cycling, Weightlifting;Non-Analytical: Use (IV);14 Month Suspension - Loss of Results;08/24/2016
Cycling;Androgenic Anabolic Steroid;2-Year Suspension - Loss of Results;08/23/2016
Cycling;Androgenic Anabolic Steroid and Propylhexadrine;2-Year Suspension - Loss of Results;08/22/2016
Track and Field;Prednisone;18-Month Suspension - Loss of Results;08/19/2016
Cycling;Metabolites of Methyltestosterone;1-Year Suspension - Loss of Results;08/15/2016
Weightlifting;Furosemide;6-Month Suspension - Loss of Results;08/12/2016
Track and Field;Non-Analytical: Use;"4-Year Suspension - Loss of Results; Sanction tolled due to retirement";08/11/2016
Mixed Martial Arts;Clenbuterol;No Fault or Negligence;
Paralympic Judo;Non-Analytical: Use (Vilanterol);3-Month Suspension - Loss of Results;08/04/2016
Track and Field;Methandienone metabolite;4-Year Suspension with 6 Month Reduction - Loss of Results;08/03/2016
Mixed Martial Arts;Androgenic Anabolic Steroid & 19-norandrosterone (19-NA);2-Year Suspension - Loss of Results;07/29/2016
Swimming;Meldonium;No Fault or Negligence;
Mixed Martial Arts;Meldonium;No Fault or Negligence;
Karate;Non-Analytical: 3 Whereabouts Failures;1-Year Suspension - Loss of Results;07/25/2016
Swimming;Meldonium;No Fault or Negligence - Loss of Results;
Track and Field;Meldonium;No Fault or Negligence;
Mixed Martial Arts;Growth Hormone-Releasing Hexapeptide;2-Year Suspension - Loss of Results;07/20/2016
Track and Field;Androgenic Anabolic Steroid;20-Month Suspension - Loss of Results;07/20/2016
Equestrian;Methylprednisolone;Public Warning - Loss of Results;07/19/2016
Volleyball;Meldonium;No Fault or Negligence;
Gymnastics;Hydrochlorothiazide;No Fault or Negligence;
Taekwondo;Cannabinoids;6-Month Suspension with 3-Month Deferral - Loss of Results;07/12/2016
Cycling;Non-Analytical: Possession, Trafficking and Complicity (EPO & hGH);"Lifetime Suspension - Loss of Results; Second & Third Violation";07/11/2016
Mixed Martial Arts;Non-Analytical: Use (IV);6-Month Suspension;06/27/2016
Swimming;Non-Analytical: Use (Vilanterol);Public Warning;06/24/2016
Track and Field;Non-Analytical: Use (Vilanterol);3-Month Suspension - Loss of Results;06/13/2016
Rugby;19-Norandrosterone (19-NA), 19-noretiocholanolone, and Drostanolone and its metabolites;4-Year Suspension - Loss of Results;06/13/2016
Mixed Martial Arts;Ostarine;6-Month Suspension - Loss of Results;06/10/2016
Mixed Martial Arts;Cannabinoids;9-Month Suspension - Loss of Results;05/19/2016
Brazilian Jiu-Jitsu - Athlete Support Personnel;Non-Analytical;4-Year Suspension - Loss of Results;05/18/2016
Weightlifting;Androstenedione, Ostarine;4-Year Suspension with 3-Month Reduction - Loss of Results;05/02/2016
Paralympic Basketball;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension - Loss of Results - Additional Results Disqualified;"Original: 12/18/2015; Updated: 04/11/2016"
Cycling;Androgenic Anabolic Steroid;4-Year Suspension with 2-Year Reduction - Loss of Results;04/26/2016
Mixed Martial Arts;Ibutamoren;6-Month Suspension;04/04/2016
Weightlifting;Non-Analytical: Refusal to Submit to Sample Collection;4-Year Suspension - Loss of Results;04/01/2016
Triathlon;Ostarine;6-Month Suspension - Loss of Results;03/31/2016
Weightlifting;Dimethylbutylamine;6-Month Suspension - Loss of Results;03/30/2016
Cycling;Androgenic Anabolic Steroid, Anastrozole, LGD-4033 and Ostarine;4-Year Suspension - Loss of Results;03/25/2016
Paralympic Table Tennis;Hydrochlorothiazide and Chlorothiazide;Public Warning - Loss of Results;03/09/2016
Cycling;Noroxycodone;6-Month Suspension - Loss of Results;"Original: 12/17/2015; Updated: 02/25/2016"
Mixed Martial Arts;Erythropoietin (EPO);2-Year Suspension - Loss of Results;02/18/2016
Paralympic Track and Field;Benzoylecgonine;1-Year Suspension - Loss of Results;02/01/2016
Weightlifting;Androgenic Anabolic Steroid;2-Year Suspension - Loss of Results;12/30/2015
Weightlifting;GHRP-2;4-Year Suspension - Loss of Results;12/29/2015
Track and Field;Androgenic Anabolic Steroid;8-Year Suspension - Loss of Results;12/28/2015
Baseball;Tamoxifen and Non-Analytical: Refusal to Submit to Sample Collection;"8-Year Suspension - Loss of Results; Sanction tolled due to retirement";12/21/2015
Cycling;Benzoylecgonine;1-Year Suspension - Loss of Results;12/11/2015
Cycling;Stanozolol / Methylphenidate;4-Year Suspension - Loss of Results;12/04/2015
Mixed Martial Arts;Human Growth Hormone (hGH);2-Year Suspension - Loss of Results;11/25/2015
Track and Field;Hydrochlorothiazide, Chlorothiazide;Public Warning - Loss of Results;10/27/2015
Track and Field;Amphetamine;2-Year Suspension - Loss of Results;10/23/2015
Cycling;Cannabinoids;6-Month Suspension with 3-Month Deferral - Loss of Results;09/11/2015
Track and Field;Non-Analytical: Use and Possession (EPO), and Evading Sample Collection;4-Year Suspension - Loss of Results;"Original: 12/18/2014; Updated: 08/25/2015"
Weightlifting;Methasterone, Ostarine, Androstatrienedione;4-Year Suspension with 8 Month Reduction - Loss of Results;08/18/2015
Ice Hockey;Non-Analytical: 3 Whereabouts Failures;1-Year Suspension - Loss of Results;06/08/2015
Triathlon;Non-Analytical: Use and Possession (EPO, hGH);18-Month Suspension - Loss of Results;06/05/2015
Triathlon;Non-Analytical: Use and Possession (EPO);2-Year Suspension - Loss of Results;06/04/2015
Cycling;Non-Analytical: Use and Possession (EPO);2-Year Suspension - Loss of Results;06/02/2015
Brazilian Jiu-Jitsu;Androgenic Anabolic Steroid;2-Year Suspension with 1 Year Reduction - Loss of Results;05/26/2015
Cycling;Non-Analytical: Use and Possession (hGH & Testosterone);12-Month Suspension - Loss of Results;05/13/2015
Team Handball;Trenbolone, Epitrenbolone;2-Year Suspension - Loss of Results;04/02/2015
Track and Field;19-norandrosterone, EPO, Furosemide;3-Year Suspension - Loss of Results;03/25/2015
Tennis;Methenolone, Androst-(2,3)-en-17-one, and GHRP-6;15-Year Suspension - Loss of Results;03/18/2015
Track and Field;Ephedrine;2-Year Suspension - Loss of Results;03/12/2015
Cycling - Athlete Support Personnel;Non-Analytical: Possession, Trafficking, and Administration;Lifetime Suspension;01/22/2015
Weightlifting;Non-Analytical: 3 Whereabouts Failures;"2-Year Suspension - Loss of Results; Sanction tolled due to retirement; Unretired - Eligible to compete starting 2/1/2019";01/22/2015
Track and Field;Methylhexaneamine;6-Month Suspension - Loss of Results;01/20/2015
Track and Field;Androgenic Anabolic Steroid;1-Year Suspension - Loss of Results;12/23/2014
Track and Field;Benzoylecgonine;21-Month Suspension - Loss of Results;12/19/2014
Track and Field - Athlete Support Personnel;Non-Analytical: Possession, Trafficking, and Administration;8-Year Suspension;12/17/2014
Brazilian Jiu-Jitsu;Methylhexaneamine;2-Year Suspension - Loss of Results;11/25/2014
Weightlifting;Clenbuterol, and Oxandrolone and its metabolite;"2-Year Suspension - Loss of Results; sanction tolled due to a whereabouts compliance failure";11/14/2014
Wrestling;Furosemide;6-Month Suspension - Loss of Results;10/16/2014
Ice Hockey;Non-Analytical: 3 Whereabouts Failures;1-Year Suspension - Loss of Results;10/13/2014
Weightlifting;Androgenic Anabolic Steroid;21-Month Suspension - Loss of Results;10/09/2014
Judo;Methylclostebol, Promagnon;1-Year Suspension - Loss of Results;10/08/2014
Track and Field;Methylprednisolone;3-Month Suspension - Loss of Results;09/19/2014
Cycling;Non-Analytical: Failure to Appear to Sample Collection;2-Year Suspension - Loss of Results;08/19/2014
Cycling;Methylhexaneamine;"8-Month Suspension - Loss of Results; Sanction tolled due to retirement";07/16/2014
Bobsled and Skeleton;Non-Analytical: 3 Whereabouts Failures;1-Year Suspension - Loss of Results;07/08/2014
Track and Field;Non-Analytical: 3 Whereabouts Failures;1-Year Suspension - Loss of Results;06/20/2014
Rowing;Methylphenidate and its metabolite;9-Month Suspension - Loss of Results;06/11/2014
Track and Field;Non-Analytical: 3 Whereabouts Failures;1-Year Suspension - Loss of Results;06/06/2014
Wrestling;Ostarine;2-Year Suspension - Loss of Results;05/15/2014
Cycling;Modafinil;"8-Year Suspension - Loss of Results; Second Violation";05/08/2014
Track and Field;Androgenic Anabolic Steroid;2-Year Suspension with 1 Year Reduction - Loss of Results;05/02/2014
Boxing;Non-Analytical: 3 Whereabouts Failures;2-Year Suspension - Loss of Results;04/28/2014
Track and Field;Non-Analytical: 3 Whereabouts Failures;1-Year Suspension - Loss of Results;04/21/2014
Track and Field;Non-Analytical: Possession, Use and Possession (EPO);2-Year Suspension - Loss of Results;04/18/2014
Brazillian Jiu-Jitsu;Clomiphene;Loss of Results;03/26/2014
Bowling;Clomiphene;Public Warning;03/14/2014
Judo;Hydrochlorothiazide, Chlorothiazide, Triamterene, 4-hydroxytriamterene;3-Month Suspension - Loss of Results;02/28/2014
Speedskating;Methylphenidate and its metabolite;9-Month Suspension - Loss of Results;02/26/2014
Track and Field;Methylhexaneamine;4 Month Suspension - Loss of Results;02/21/2014
Cycling;Modafinil;2-Year Suspension - Loss of Results;02/03/2014
Cycling;Androgenic Anabolic Steroid;2-Year Suspension - Loss of Results;01/24/2014
Weightlifting;Androgenic Anabolic Steroid;2-Year Suspension - Loss of Results;01/14/2014
Cycling;Androgenic Anabolic Steroid, Erythropoietin (EPO) and Amphetamine;2-Year Suspension - Loss of Results;12/30/2013
Volleyball;Androgenic Anabolic Steroid;13-Month Suspension - Loss of Results;12/20/2013
Track and Field;Clenbuterol;2-Year Suspension - Loss of Results;12/18/2013
Cycling;Methylhexaneamine;9-Month Suspension - Loss of Results;11/27/2013
Cycling;19-norandrosterone (19-NA) and 19-noretiocholanolone;2-Year Suspension - Loss of Results;11/26/2013
Paralympic Cycling;Methylhexaneamine;180 Day Suspension - Loss of Results;11/15/2013
Track and Field;Clomiphene;6-Month Suspension - Loss of Results;10/04/2013
Paralympic Track and Field;Amphetamine and Methylhexaneamine;"2-Year Suspension - Loss of Results; sanction extended due to a whereabouts compliance failure";09/23/2013
Track and Field;Cannabinoids;6-Month Suspension with 3-Month Deferral - Loss of Results;09/20/2013
Wrestling;Methylhexaneamine;8-Month Suspension - Loss of Results;09/06/2013
Cycling;Phentermine;2-Year Suspension - Loss of Results;09/05/2013
Weightlifting;Androgenic Anabolic Steroid;2-Year Suspension - Loss of Results;08/30/2013
Rowing;Glycerol;Public Warning - Loss of Results;08/20/2013
Rowing;Glycerol;Public Warning - Loss of Results;08/20/2013
Cycling;Non-Analytical: Use (EPO, hGH, Cortisone, Blood Tranfusions);6-Month Suspension - Loss of Results;08/15/2013
Weightlifting;Methylhexaneamine;9-Month Suspension - Loss of Results;08/09/2013
Weightlifting;Methylhexaneamine;9-Month Suspension - Loss of Results;08/08/2013
Cycling, Triathlon;Androgenic Anabolic Steroid;18-Month Suspension - Loss of Results;06/28/2013
Paralympic Boccia;Hydrochlorothiazide and Chlorothiazide;Public Warning;06/20/2013
Track and Field;Methylhexaneamine;2-Year Suspension with 1 Year Reduction - Loss of Results;06/07/2013
Cycling;Androgenic Anabolic Steroid & Amphetamine;"2-Year Suspension - Loss of Results;";"Original: 10/20/2011; Updated: 06/05/2013"
Track and Field;Non-Analytical: Refusal to Submit to Sample Collection;18-Month Suspension - Loss of Results;05/31/2013
Skiing and Snowboarding;Non-Analytical: Refusal to Submit to Sample Collection;"2-Year Suspension - Loss of Results; Sanction tolled";05/09/2013
Cycling;Dexamethasone;2-Year Suspension - Loss of Results;04/19/2013
Track and Field;Non-Analytical: 3 Whereabouts Failures;2-Year Suspension - Loss of Results;04/18/2013
Professional Boxing;Clenbuterol;2-Year Suspension - Loss of Results;03/22/2013
Paralympic Sailing;Hydrochlorothiazide and Chlorothiazide;Public Warning;03/12/2013
Track and Field;Androgenic Anabolic Steroid and Modafinil;2-Year Suspension - Loss of Results;03/08/2013
Cycling;Non-Analytical: Failure to Appear to Sample Collection;16-Month Suspension - Loss of Results;02/22/2013
Cycling;Modafinil;18-Month Suspension - Loss of Results;12/31/2012
Shooting;19-norandrosterone (19-NA) and 19-noretiocholanolone;1-Year Suspension - Loss of Results;12/21/2012
Track and Field;Canrenone;Public Warning - Loss of Results;12/21/2012
Track and Field;Non-Analytical: Use (EPO);2-Year Suspension with 6 Month Reduction - Loss of Results;12/14/2012
Triathlon;ABP and Non-Analytical: Use (EPO);4-Year Suspension - Loss of Results;11/09/2012
Cycling;Non-Analytical: Use (EPO, hGH, Testosterone);6-Month Suspension - Loss of Results;10/10/2012
Cycling;Non-Analytical: Use (EPO, hGH, Testosterone, Cortisone, Blood Transfusions);6-Month Suspension - Loss of Results;10/10/2012
Cycling;Non-Analytical: Use (EPO, hGH, Testosterone, Blood Transfusions);6-Month Suspension - Loss of Results;10/10/2012
Cycling;Non-Analytical: Use (EPO, Testosterone, Blood Transfusions);6-Month Suspension - Loss of Results;10/10/2012
Cycling;Non-Analytical: Use (EPO, hGH, Testosterone, Cortisone);6-Month Suspension - Loss of Results;10/10/2012
Cycling;Non-Analytical: Use (EPO, hGH, Testosterone);6-Month Suspension - Loss of Results;10/10/2012
Cycling;Methylhexaneamine;6-Month Suspension - Loss of Results;09/14/2012
Track and Field;Androgenic Anabolic Steroid;2-Year Suspension - Loss of Results;09/11/2012
Cycling;Erythropoietin (EPO);2-Year Suspension - Loss of Results;09/07/2012
Wrestling;Cannabinoids & Amphetamine;1-Year Suspension - Loss of Results;08/31/2012
Cycling;Cannabinoids;3-Month Suspension with 3-Month Deferral - Loss of Results;08/31/2012
Cycling;Non-Analytical: Use, Possession, Trafficking, Administration and Complicity;Lifetime Suspension - Loss of Results;08/24/2012
Paralympic Nordic Skiing, Paralympic Cycling;Tuaminoheptane;3-Month Suspension - Loss of Results;08/15/2012
Paralympic Track and Field;Hydrochlorothiazide & Chlorothiazide;"1-Year Suspension - Loss of Results; Second Violation";08/03/2012
Cycling;Erythropoietin (EPO);2-Year Suspension - Loss of Results;07/25/2012
Judo;Cannabinoids;3-Month Suspension - Loss of Results;07/18/2012
Weightlifting;Furosemide and Non-Analytical: Refusal to Submit to Sample Collection;3-Year Suspension - Loss of Results;07/17/2012
Cycling - Athlete Support Personnel;Non-Analytical;Lifetime Suspension;07/10/2012
Soccer;Canrenone;Public Warning;07/09/2012
Wrestling;Cannabinoids;"1-Year Suspension - Loss of Results; Second Violation";06/28/2012
Paralympic Track and Field, Paralympic Rowing;Fentanyl;Public Warning - Loss of Results;06/22/2012
Cycling;Methylhexaneamine;6-Month Suspension - Loss of Results;06/16/2012
Paralympic Archery;Hydrochlorothiazide, Chlorothiazide, Triamterene and Labetalol;Public Warning - Loss of Results;04/27/2012
Judo;Non-Analytical: 3 Whereabouts Failures;2-Year Suspension - Loss of Results;04/20/2012
Weightlifting;Human Growth Hormone (hGH);2-Year Suspension - Loss of Results;04/16/2012
Rowing;Non-Analytical: 3 Whereabouts Failures;1-Year Suspension - Loss of Results;04/13/2012
Cycling;Erythropoietin (EPO);2-Year Suspension with 9 Month Reduction - Loss of Results;03/30/2012
Track and Field;Methylhexaneamine;9-Month Suspension - Loss of Results;03/01/2012
